date_time(UTC:PDT+7), solinst_stage(cm), solinst_stage(ft), manual_stage(cm), manual_stage(ft), flags(1=manual_excluded_from_rating_curve:2=solinst_excluded_from_rating_curve:3=discharge_from_Dana_and_Lyell_stage_time_approximate), discharge(cfs)
2008/07/28 23:03:00, 92.49,  3.03, 91.44,  3.00,  0, 45.88
2008/07/29 00:04:00, 92.01,  3.02, 90.83,  2.98,  0,   NaN
2008/07/30 22:55:00, 92.56,  3.04, 91.13,  2.99,  0,   NaN
2008/08/04 21:00:00, 88.50,  2.90, 87.78,  2.88,  0, 30.17
2008/09/11 18:20:00, 80.04,  2.63, 78.63,  2.58,  0,  6.48
2008/09/18 21:40:00, 78.12,  2.56, 77.42,  2.54,  0,  3.79
2008/09/26 17:30:00, 76.85,  2.52, 75.59,  2.48,  0,  4.02
2009/05/13 19:07:00, 167.41,  5.49, 166.41,  5.46,  0, 596.47
2009/05/14 18:11:00, 169.03,  5.55, 167.02,  5.48,  0, 573.61
2009/05/20 16:28:00, 188.27,  6.18, 185.31,  6.08,  0, 828.58
2009/05/20 23:40:00, 192.23,  6.31, 190.49,  6.25,  0, 953.00
2009/05/21 15:30:00, 186.90,  6.13, 185.31,  6.08,  0, 812.06
2009/05/26 15:42:00, 180.62,  5.93, 177.99,  5.84,  0, 712.72
2009/05/27 17:57:00, 173.25,  5.68, 170.07,  5.58,  0, 611.83
2009/06/15 18:36:00, 134.48,  4.41, 133.50,  4.38,  0, 246.55
2009/06/17 17:31:00, 146.58,  4.81, 144.47,  4.74,  0, 315.12
2009/06/24 21:24:00, 142.56,  4.68, 140.51,  4.61,  0, 308.12
2009/06/26 20:46:00, 142.79,  4.69, 140.51,  4.61,  0, 308.22
2009/06/29 17:35:00, 146.58,  4.81, 142.94,  4.69,  0, 348.28
2009/07/14 17:30:00, 119.50,  3.92, 118.87,  3.90,  0, 165.20
2009/07/24 20:44:00, 108.89,  3.57, 107.28,  3.52,  0, 107.95
2009/07/24 21:47:00, 108.74,  3.57, 106.67,  3.50,  0,   NaN
2009/08/10 20:18:00, 88.96,  2.92, 118.56,  3.89,  1, 30.01
2009/09/01 23:00:00, 82.90,  2.72, 82.90,  2.72,  0, 16.93
2010/06/28 23:34:00, 186.83,  6.13, 196.89,  6.46,  0, 971.45
2010/06/29 00:30:00, 188.00,  6.17, 201.16,  6.60,  0,   NaN
2010/07/09 15:46:00, 159.97,  5.25, 156.05,  5.12,  0, 406.70
2010/07/09 17:30:00, 156.60,  5.14, 153.00,  5.02,  0,   NaN
2010/07/12 16:00:00, 154.80,  5.08, 151.17,  4.96,  0,   NaN
2010/07/13 23:50:00, 148.00,  4.86, 150.56,  4.94,  0, 383.10
2010/07/14 00:29:00, 147.70,  4.85, 151.78,  4.98,  0,   NaN
2010/07/19 21:00:00, 138.50,  4.54, 134.72,  4.42,  0,   NaN
2010/07/22 15:55:00, 122.08,  4.01, 121.91,  4.00,  0, 190.03
2010/08/04 21:45:00, 99.15,  3.25, 100.88,  3.31,  0,   NaN
2010/08/04 22:40:00, 99.47,  3.26, 90.52,  2.97,  0, 62.09
